Country,Capital,Median growth,Mean growth,Average Temp,Average humidity,Total cases
Albania,tirane,0.13755532856656452,0.24867029543718694,12.845593869731804,0.5682758620689654,100
Algeria,algiers,0.18823529411764706,0.2919492605858128,18.371839080459768,0.553103448275862,189
Andorra,andorra la vella,0.2305410297666935,0.7044030022754559,11.768773946360152,0.2917241379310345,133
Argentina,buenos aires,0.234375,0.2822503398350243,26.35823754789272,0.5758620689655172,301
Armenia,yerevan,0.47435897435897434,0.40667885420116384,1.1695402298850575,0.6141379310344827,194
Australia,canberra,0.08514492753623187,0.11750462100768795,23.866666666666667,0.5289655172413793,1823
Austria,vienna,0.31297709923664124,0.31962264856693706,8.81781609195402,0.5327586206896553,4486
Bahrain,manama,0.07304120028578233,0.11630291630503992,19.88122605363985,0.6010344827586208,339
Belarus,minsk,0.28174603174603174,0.25986766432990693,1.9522988505747123,0.7582758620689656,81
Belgium,brussels,0.23255813953488372,0.36892411562465904,8.058429118773946,0.7941379310344827,3743
Bosnia and Herzegovina,sarajevo,0.19444444444444442,0.3230974182822009,7.825478927203068,0.5334482758620691,129
Brazil,brasilia,0.37056737588652483,0.3947714374997288,26.300383141762445,0.6662068965517242,1891
Brunei,bandar seri begawan,0.07676470588235294,0.22629900871913647,31.21704980842912,0.7489655172413792,91
Bulgaria,sofia,0.22979435676709709,0.3928093624436843,6.374521072796937,0.5875862068965516,201
Burkina Faso,ouagadougou,0.21212121212121213,0.22188956876456878,34.08448275862068,0.05793103448275865,75
Cambodia,phnom penh,0.24255319148936172,0.38556278473784367,31.713026819923364,0.5020689655172415,87
Canada,ottawa,0.125,0.13515274168886252,-4.768199233716476,0.6827586206896553,1646
Chile,santiago,0.3015151515151515,0.38748104438731285,25.943486590038322,0.3258620689655172,746
China,Wuhan,0.005519743993130105,0.11791159990985414,12.01590038314176,0.6693103448275861,81748
Colombia,bogota,0.26666666666666666,0.37636309150140607,20.601532567049812,0.5689655172413793,235
Costa Rica,san jose,0.21951219512195122,0.2758574706035567,25.134099616858233,0.6037931034482757,158
Croatia,zagreb,0.1935483870967742,0.2249220110956384,10.653639846743294,0.5593103448275862,306
Cyprus,nicosia,0.2537313432835821,0.34601335134964634,15.787164750957853,0.5913793103448275,116
Czech Republic,Prague,0.29310344827586204,0.3109160100614757,7.1689655172413795,0.6282758620689656,1236
Denmark,copenhagen,0.15,0.3787995563699897,5.38103448275862,0.7799999999999999,1460
Dominican Republic,santo domingo,0.21287128712871287,0.5489726264452266,28.7132183908046,0.7775862068965517,245
Ecuador,quito,0.3,0.37435533213308597,19.600957854406133,0.563103448275862,981
Egypt,cairo,0.13395176252319108,0.27179000900444605,18.842145593869727,0.4424137931034483,327
Estonia,tallinn,0.19883040935672514,0.39007339402127345,2.018965517241379,0.7710344827586206,352
Finland,helsinki,0.20153550863723607,0.3611616383339232,1.3532567049808428,0.7458620689655172,700
France,paris,0.1562260219017361,0.18615618621222169,9.772413793103448,0.7096551724137932,19856
Germany,berlin,0.15384615384615385,0.19850270094943648,6.556130268199234,0.7524137931034484,29212
Greece,athens,0.11378205128205128,0.29214797393303715,14.167816091954023,0.537241379310345,695
Hungary,budapest,0.2353846153846154,0.23862740687829284,8.755747126436782,0.5686206896551723,187
Iceland,reykjavik,0.21428571428571427,0.2751802448090748,0.4028735632183907,0.7365517241379309,588
India,new delhi,0.14696969696969697,0.3549843647912828,21.65708812260536,0.45517241379310347,492
Indonesia,jakarta,0.31976744186046513,0.4946523589307667,31.028735632183903,0.6793103448275863,579
Iran,tehran,0.16509958677475403,0.35058724515133205,8.23103448275862,0.44827586206896547,23049
Iraq,baghdad,0.14163090128755365,0.18501669460655504,17.20114942528736,0.3751724137931034,266
Ireland,dublin,0.3047085201793722,0.3576970552884362,8.57758620689655,0.762758620689655,1125
Israel,jerusalem,0.2401685393258427,0.3071779247684775,12.013793103448275,0.7082758620689655,1442
Italy,rome,0.2346123101518785,0.3702750933586805,14.440613026819925,0.5344827586206897,63927
Japan,tokyo,0.07252747252747253,0.10158553448635327,11.329693486590044,0.34379310344827574,1128
Jordan,amman,0.19798136645962733,0.32202784383490907,11.416858237547894,0.7375862068965517,112
Kuwait,kuwait city,0.06153846153846154,0.1913332773042553,19.378927203065132,0.42862068965517247,189
Latvia,riga,0.2306338028169014,0.28473181710065637,3.5703065134099616,0.7813793103448274,180
Lebanon,beirut,0.1662109820004557,0.2103097533919753,16.279118773946358,0.6131034482758622,267
Lithuania,vilnius,0.4460227272727273,0.4087867103768638,3.320498084291187,0.7382758620689659,179
Luxembourg,luxembourg,0.4028985507246377,0.5846209459543711,5.814942528735631,0.782413793103448,875
Macedonia,skopje,0.3411764705882353,0.32070454235889173,9.295019157088122,0.5289655172413793,136
Malaysia,kuala lumpur,0.06904761904761905,0.11357900876646655,31.358045977011493,0.6213793103448277,1518
Malta,valletta,0.2480173035328046,0.2777083689725484,15.818582375478927,0.6820689655172413,107
Mexico,mexico city,0.3412567176519223,0.36822560884250005,21.64521072796935,0.3082758620689656,367
Moldova,chisinau,0.21212121212121213,0.33940283854536796,8.124137931034484,0.5475862068965517,109
Morocco,rabat,0.19895833333333335,0.3535583700854808,18.11226053639846,0.6668965517241378,134
Netherlands,"amsterdam, the hague",0.220675944333996,0.3455392264226605,7.60191570881226,0.7748275862068966,4749
New Zealand,wellington,0.39215686274509803,0.4853399180258226,19.753065134099614,0.7344827586206897,142
Norway,oslo,0.22704887908857038,0.3121545973395495,3.617049808429119,0.660689655172414,2371
Pakistan,islamabad,0.2068111455108359,0.5965124632951472,19.80153256704981,0.35206896551724143,887
Panama,panama city,0.26744186046511625,0.37664163322124,31.46513409961686,0.570344827586207,345
Peru,lima,0.23931623931623933,0.32300573557450657,26.79712643678161,0.7568965517241378,395
Philippines,Manila,0.21578947368421053,0.3739484357608896,29.724904214559388,0.5941379310344829,462
Poland,warsaw,0.29411764705882354,0.35339787422373403,5.239272030651342,0.6844827586206896,749
Portugal,lisbon,0.35347432024169184,0.381437256389,16.259578544061302,0.6731034482758621,2060
Qatar,doha,0.09090909090909091,0.6975635249348624,24.13429118773946,0.4234482758620689,501
Romania,bucharest,0.2141225888014355,0.3041315760507519,8.284865900383142,0.5882758620689654,576
Russia,moscow,0.2804152340650622,0.34545252348858996,-0.8626436781609192,0.8517241379310347,438
San Marino,san marino,0.13043478260869565,0.17148868101967799,10.26417624521073,0.5693103448275862,187
Saudi Arabia,riyadh,0.36363636363636365,0.3438414594863531,23.187356321839076,0.17379310344827587,562
Senegal,dakar,0.1791044776119403,0.33913663983137887,26.31360153256705,0.5072413793103449,79
Serbia,belgrade,0.26174496644295303,0.42480776800521913,9.787547892720307,0.552758620689655,222
Singapore,singapore,0.06268412438625204,0.08967795740622476,30.410919540229884,0.7017241379310344,509
Slovakia,bratislava,0.33815962666028476,0.31996137324154333,8.868199233716474,0.5737931034482758,191
Slovenia,ljubljana,0.20994475138121546,0.31339807731826586,9.561494252873562,0.5717241379310347,442
South Africa,"pretoria, cape town,bloemfontein",0.36470588235294116,0.39171396485488835,27.478352490421454,0.5106896551724138,402
South Korea,seoul,0.041666666666666664,0.16771972153987375,4.859961685823755,0.4893103448275862,9037
Spain,madrid,0.32456140350877194,0.387520481972744,10.94750957854406,0.5979310344827586,33089
Sri Lanka,colombo,0.2535938903863432,0.34545308188598256,32.14022988505747,0.6510344827586204,97
Sweden,stockholm,0.17518248175182483,0.2794069597938112,3.7810344827586215,0.7127586206896552,2016
Switzerland,berne,0.2631578947368421,0.3382734799591165,7.391187739463603,0.6627586206896553,8015
Taiwan,taipei,0.03333333333333333,0.07313523045655557,21.179693486590033,0.7158620689655173,195
Thailand,bangkok,0,0.11836512325737585,32.394827586206894,0.43931034482758624,827
Tunisia,tunis,0.20833333333333334,0.2622751754581993,18.298275862068966,0.5258620689655172,89
Turkey,ankara,0.8729382082282081,0.7933419486012011,5.089655172413793,0.6006896551724137,1529
United Arab Emirates,abu dhabi,0,0.09321071931226407,22.678352490421453,0.5944827586206899,198
United Kingdom,london,0.17299039162491564,0.1859818303417771,8.926628352490418,0.7096551724137931,6650
United States,washington d.c.,0.14285714285714285,0.19017375195172265,7.839846743295017,0.5293103448275862,46442
